영화제목,유통회사명,개봉일,총스크린수,관람인원수,장르,등급,네이버_평점,구글_평점,씨네21_평점,개봉년도,개봉월
위대한 작은 농장,(주)엣나인필름,2023-06-01,31.0,39.0,다큐멘터리,전체관람가,8.74,4.8,6.67,2023,6
보 이즈 어프레이드,(주)스튜디오디에이치엘,2023-07-01,312.0,32.0,어드벤처,청소년관람불가,7.17,2.9,6.22,2023,7
슬픔의 삼각형,"그린나래미디어(주),(주)플레이그램,메가박스중앙(주)",2023-05-01,294.0,32.0,코미디,15세이상관람가,7.71,3.1,7.17,2023,5
사랑하는 당신에게,(주)티캐스트,2023-05-01,28.0,22.0,드라마,12세이상관람가,7.59,,6.0,2023,5
보통의 카스미,(주)비싸이드 픽쳐스,2023-07-01,24.0,14.0,드라마,12세이상관람가,7.68,,5.67,2023,7
그 노래,주식회사 씨엠닉스,2023-08-01,5.0,13.0,드라마,12세이상관람가,6.33,,6.0,2023,8
99번의 정사,주식회사 풍경소리,2023-08-01,5.0,13.0,기타,청소년관람불가,0.0,,,2023,8
물안에서,"(주)영화제작전원사 ,(주)콘텐츠판다",2023-04-01,61.0,12.0,드라마,12세이상관람가,6.97,,7.25,2023,4
비닐하우스,(주)트리플픽쳐스,2023-07-01,78.0,12.0,범죄,15세이상관람가,7.54,,5.0,2023,7
디어 마이 러브,(주)뮤제엔터테인먼트,2023-07-01,23.0,11.0,멜로/로맨스,전체관람가,7.67,4.7,6.0,2023,7
더 버닝 씨,(주)엣나인필름,2023-08-01,36.0,10.0,액션,12세이상관람가,8.17,4.0,5.0,2023,8
블랙 데몬,(주)엔케이컨텐츠,2023-09-01,1.0,10.0,스릴러,15세이상관람가,3.19,1.8,,2023,9
이름 없는 춤,"(주)디오시네마,GATE6",2023-08-01,14.0,10.0,다큐멘터리,12세이상관람가,6.83,,5.5,2023,8
론 서바이버 : 아이 엠 리벤지,라온아이(주),2023-09-01,1.0,8.0,액션,청소년관람불가,1.33,,,2023,9
지옥갱,(주)투케이에스픽처스,2023-09-01,1.0,8.0,전쟁,15세이상관람가,4.0,,,2023,9
더 썬,(주)스튜디오디에이치엘,2023-07-01,62.0,5.0,드라마,15세이상관람가,6.75,4.0,5.67,2023,7
작은정원,(주)시네마달,2023-07-01,20.0,5.0,다큐멘터리,전체관람가,9.78,,6.5,2023,7
러브 라이프,M&M 인터내셔널,2023-07-01,30.0,2.0,드라마,12세이상관람가,7.53,,4.0,2023,7
사고물건 무서운 방,(주)미디어캐슬,2023-08-01,1.0,2.0,공포(호러),15세이상관람가,2.4,,,2023,8
그래픽 디자이어,(주)콘텐트마인,2023-09-01,1.0,1.0,멜로/로맨스,청소년관람불가,9.0,,9.33,2023,9
30일,(주)마인드마크,2023-10-01,,,코미디,12세이상관람가,7.99,4.7,6.67,2023,10
그대들은 어떻게 살 것인가,메가박스중앙(주),2023-10-01,,,애니메이션,전체관람가,6.98,3.8,7.9,2023,10
천박사 퇴마 연구소: 설경의 비밀,(주)씨제이이엔엠,2023-09-01,,,판타지,12세이상관람가,7.03,,5.0,2023,9
1947 보스톤,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",2023-09-01,,,드라마,12세이상관람가,7.83,,5.67,2023,9
크리에이터,월트디즈니컴퍼니코리아 유한책임회사,2023-10-01,878.0,,SF,12세이상관람가,7.39,3.6,6.75,2023,10
화란,플러스엠 엔터테인먼트,2023-10-01,976.0,,드라마,15세이상관람가,6.9,,6.5,2023,10
더 넌 2,워너브러더스 코리아(주),2023-09-01,720.0,,공포(호러),15세이상관람가,6.79,2.9,5.5,2023,9
용감한 시민,(주)마인드마크,2023-10-01,887.0,,액션,15세이상관람가,6.87,4.7,5.0,2023,10
퍼피 구조대: 더 마이티 무비,롯데컬처웍스(주)롯데엔터테인먼트,2023-10-01,566.0,,애니메이션,전체관람가,8.35,4.3,,2023,10
플라워 킬링 문,롯데컬처웍스(주)롯데엔터테인먼트,2023-10-01,719.0,,범죄,청소년관람불가,,3.1,7.5,2023,10
거미집,(주)바른손이앤에이,2023-09-01,,,코미디,15세이상관람가,7.61,,6.67,2023,9
화사한 그녀,"(주)제이앤씨미디어그룹,(주)스튜디오 산타클로스엔터테인먼트",2023-10-01,414.0,,코미디,12세이상관람가,7.66,,4.0,2023,10
극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,(주)넥스트엔터테인먼트월드(NEW),2023-09-01,601.0,,애니메이션,전체관람가,8.41,,5.0,2023,9
사나: 저주의 아이,(주)바이포엠스튜디오,2023-10-01,199.0,,공포(호러),15세이상관람가,7.35,,4.5,2023,10
엑소시스트: 믿는 자,유니버설픽쳐스인터내셔널 코리아(유),2023-10-01,630.0,,공포(호러),15세이상관람가,5.81,2.6,4.0,2023,10
블루 자이언트,판씨네마(주),2023-10-01,574.0,,애니메이션,12세이상관람가,8.7,,6.67,2023,10
익스펜더블 4,"(주)올스타엔터테인먼트,(주)플레이그램",2023-10-01,634.0,,액션,청소년관람불가,6.47,2.1,5.0,2023,10
잠,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-01,,,미스터리,15세이상관람가,7.84,3.4,7.0,2023,9
바람 따라 만나리 : 김호중의 계절,"씨제이포디플렉스 주식회사,CGV ICECON",2023-10-01,78.0,,공연,전체관람가,9.79,,,2023,10
마브카 : 숲의 노래,(주)팝엔터테인먼트,2023-10-01,489.0,,애니메이션,전체관람가,7.8,4.1,6.0,2023,10
오펜하이머,유니버설픽쳐스인터내셔널 코리아(유),2023-08-01,,,스릴러,15세이상관람가,8.53,3.7,8.4,2023,8
괴담만찬,"TCO(주)더콘텐츠온,(주)블루라벨픽쳐스,(주)대교 미디어콘텐츠사업본부",2023-10-01,162.0,,공포(호러),15세이상관람가,8.63,,4.5,2023,10
아르고 원정대: 꼬마 영웅 패티의 대모험,(주)스튜디오디에이치엘,2023-09-01,516.0,,애니메이션,전체관람가,8.53,,6.0,2023,9
드림쏭2,주식회사 원더스튜디오,2023-10-01,389.0,,애니메이션,전체관람가,9.2,3.6,,2023,10
가문의 영광: 리턴즈,(주)넥스트엔터테인먼트월드(NEW),2023-09-01,823.0,,코미디,15세이상관람가,3.57,,1.5,2023,9
그란 투리스모,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2023-09-01,883.0,,액션,12세이상관람가,8.34,4.7,6.0,2023,9
에브리씽 에브리웨어 올 앳 원스,워터홀컴퍼니(주),2022-10-01,620.0,,액션,15세이상관람가,8.8,3.8,8.43,2022,10
"여름을 향한 터널, 이별의 출구",(주)미디어캐슬,2023-09-01,269.0,,애니메이션,12세이상관람가,7.46,4.8,6.0,2023,9
"기억해, 우리가 사랑한 시간","(주)도키엔터테인먼트,(주)키다리스튜디오",2023-10-01,178.0,,멜로/로맨스,전체관람가,7.2,,5.0,2023,10
80일간의 세계일주,"(주)제이앤씨미디어그룹,와이드 릴리즈(주)",2023-09-01,171.0,,애니메이션,전체관람가,8.0,4.5,6.5,2023,9
오픈 더 도어,"(주)콘텐츠판다,(주)비에이엔터테인먼트",2023-10-01,213.0,,미스터리,15세이상관람가,6.63,,5.0,2023,10
아이유 콘서트 : 더 골든 아워,씨제이 씨지브이(CJ CGV)(주),2023-09-01,63.0,,공연,전체관람가,9.66,,,2023,9
나의 행복한 결혼,(주)디스테이션,2023-10-01,109.0,,판타지,12세이상관람가,8.0,4.9,6.0,2023,10
빌리와 용감한 녀석들: 황금 달걀 구조대,(주)박수엔터테인먼트,2023-10-01,306.0,,애니메이션,전체관람가,8.5,,,2023,10
더 킬러,씨제이 씨지브이(CJ CGV)(주),2023-10-01,78.0,,스릴러,15세이상관람가,7.41,2.6,7.0,2023,10
시수,(주)이놀미디어,2023-10-01,175.0,,액션,청소년관람불가,7.47,3.8,6.0,2023,10
엘리멘탈,월트디즈니컴퍼니코리아 유한책임회사,2023-06-01,,,애니메이션,전체관람가,8.92,,7.29,2023,6
너와 나,"주식회사 필름영,그린나래미디어(주)",2023-10-01,76.0,,드라마,12세이상관람가,8.77,,,2023,10
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,메가박스중앙(주),2023-10-01,78.0,,애니메이션,전체관람가,,,,2023,10
킴스 비디오,오드,2023-09-01,39.0,,다큐멘터리,12세이상관람가,8.2,,7.0,2023,9
만강홍: 사라진 밀서,팝엔터테인먼트,2023-10-01,153.0,,미스터리,15세이상관람가,5.75,,6.33,2023,10
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),2023-01-01,,,애니메이션,12세이상관람가,9.25,4.5,7.67,2023,1
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,메가박스중앙(주),2023-10-01,79.0,,애니메이션,전체관람가,,,,2023,10
씰벤져스 : 용감한 바다특공대,(주)무비다이브,2023-09-01,121.0,,애니메이션,전체관람가,6.48,4.3,,2023,9
두 사람을 위한 식탁,필름다빈,2023-10-01,37.0,,다큐멘터리,12세이상관람가,8.56,,6.33,2023,10
여덟 개의 산,(주)영화사 진진,2023-09-01,44.0,,드라마,12세이상관람가,8.18,4.5,7.33,2023,9
플로라 앤 썬,씨제이 씨지브이(CJ CGV)(주),2023-09-01,120.0,,드라마,15세이상관람가,7.88,4.6,7.0,2023,9
믿을 수 있는 사람,찬란,2023-10-01,62.0,,드라마,12세이상관람가,8.0,,6.0,2023,10
달짝지근해: 7510,(주)마인드마크,2023-08-01,884.0,,코미디,12세이상관람가,7.67,,6.5,2023,8
수라,"스튜디오두마,미디어나무(주),스튜디오 에이드",2023-06-01,136.0,,다큐멘터리,전체관람가,,,8.0,2023,6
유앤미앤미,주식회사 원더스튜디오,2023-10-01,73.0,,멜로/로맨스,전체관람가,6.96,,5.0,2023,10
어파이어,M&M 인터내셔널,2023-09-01,68.0,,드라마,12세이상관람가,8.02,3.8,8.43,2023,9
당나귀 EO,"찬란,(주)하이스트레인저",2023-10-01,35.0,,드라마,15세이상관람가,7.63,3.7,7.25,2023,10
우리의 하루,"(주)영화제작전원사 ,(주)콘텐츠판다",2023-10-01,47.0,,드라마,12세이상관람가,6.9,,7.67,2023,10
스크래퍼,"그린나래미디어(주),(주)스튜디오 산타클로스엔터테인먼트",2023-09-01,45.0,,코미디,12세이상관람가,7.56,4.3,6.0,2023,9
"람빅, 시간과 열정의 맥주",(주)마노엔터테인먼트,2023-10-01,26.0,,다큐멘터리,전체관람가,7.75,,,2023,10
아버지의 마음,"(주)드림팩트엔터테인먼트,파이오니아21",2023-07-01,85.0,,다큐멘터리,전체관람가,9.33,,,2023,7
달리랜드,스튜디오 에이드,2023-10-01,68.0,,코미디,15세이상관람가,7.04,3.4,5.0,2023,10
베니스 유령 살인사건,월트디즈니컴퍼니코리아 유한책임회사,2023-09-01,876.0,,범죄,12세이상관람가,7.19,3.2,5.67,2023,9
콘크리트 유토피아,롯데컬처웍스(주)롯데엔터테인먼트,2023-08-01,,,드라마,15세이상관람가,8.19,3.5,7.14,2023,8
프리 철수 리,커넥트픽쳐스(주),2023-10-01,59.0,,다큐멘터리,12세이상관람가,7.88,,7.0,2023,10
절해고도,"아이 엠,무브먼트",2023-09-01,36.0,,드라마,12세이상관람가,7.88,,6.5,2023,9
스즈메의 문단속,(주)쇼박스,2023-03-01,,,애니메이션,12세이상관람가,8.45,4.6,7.6,2023,3
문바운드,주식회사 블루필름웍스,2023-10-01,68.0,,판타지,전체관람가,9.71,,,2023,10
밀수,(주)넥스트엔터테인먼트월드(NEW),2023-07-01,,,액션,15세이상관람가,7.94,,6.14,2023,7
이터널 메모리,(주)엣나인필름,2023-09-01,42.0,,다큐멘터리,전체관람가,7.81,4.6,5.5,2023,9
탄생,"씨제이 씨지브이(CJ CGV)(주),(주)레드아이스 엔터테인먼트",2022-11-01,670.0,,드라마,12세이상관람가,8.15,,6.56,2022,11
팟 제너레이션,주식회사 왓챠,2023-10-01,25.0,,SF,12세이상관람가,6.5,2.7,5.5,2023,10
세이 예스 어게인,(주)팝엔터테인먼트,2023-10-01,65.0,,멜로/로맨스,12세이상관람가,5.82,,4.5,2023,10
명탐정코난: 흑철의 어영,(주)씨제이이엔엠,2023-07-01,,871.0,애니메이션,12세이상관람가,8.56,,6.0,2023,7
엔니오: 더 마에스트로,"(주)영화사 진진,(주)씨네필운",2023-07-01,67.0,650.0,다큐멘터리,12세이상관람가,,,6.5,2023,7
어느 멋진 아침,"찬란,(주)빅브라더스",2023-09-01,50.0,629.0,드라마,15세이상관람가,6.89,4.0,7.0,2023,9
킹 오브 킬러스,주식회사 풍경소리,2023-10-01,30.0,576.0,액션,청소년관람불가,6.6,,,2023,10
칸다하,(주)누리픽쳐스,2023-09-01,78.0,565.0,스릴러,15세이상관람가,7.2,3.4,5.0,2023,9
닌자터틀: 뮤턴트 대소동,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-01,650.0,500.0,애니메이션,전체관람가,7.16,3.6,5.5,2023,9
핑크퐁 시네마 콘서트3 : 진저브레드맨을 잡아라,더핑크퐁컴퍼니(주),2023-07-01,128.0,451.0,애니메이션,전체관람가,7.88,,,2023,7
치치핑핑의 쿵쿵따 탐험대,(주)에픽캔,2023-04-01,4.0,387.0,공연,전체관람가,,,,2023,4
물꽃의 전설,(주)영화사 진진,2023-08-01,33.0,379.0,다큐멘터리,전체관람가,8.89,,6.0,2023,8
더 문,(주)씨제이이엔엠,2023-08-01,,355.0,SF,12세이상관람가,7.36,,7.0,2023,8
잔고: 분노의 적자,(주)영화사 그램,2023-09-01,42.0,320.0,서부극(웨스턴),12세이상관람가,6.81,,4.0,2023,9
조이 라이드,판씨네마(주),2023-08-01,225.0,306.0,코미디,청소년관람불가,6.51,3.6,6.0,2023,8
생츄어리: 마법의 소원나무,(주)팝엔터테인먼트,2023-09-01,188.0,305.0,애니메이션,전체관람가,7.9,,5.0,2023,9
듣보인간의 생존신고,(주)시네마달,2023-09-01,93.0,299.0,다큐멘터리,전체관람가,9.31,,5.25,2023,9
킹 오브 뉴욕,일미디어,2023-09-01,8.0,281.0,액션,청소년관람불가,9.0,4.3,7.33,2023,9
작은정원,(주)시네마달,2023-07-01,20.0,245.0,다큐멘터리,전체관람가,9.78,,6.5,2023,7
번개맨: 더 비기닝,"(주)드림팩트엔터테인먼트,(주)빅브라더스",2023-09-01,181.0,237.0,애니메이션,전체관람가,5.38,,5.0,2023,9
봉태리,(주)보더레스랩,2023-10-01,21.0,178.0,멜로/로맨스,12세이상관람가,6.82,,,2023,10
거룩한 술꾼의 전설,일미디어,2023-08-01,18.0,171.0,드라마,15세이상관람가,7.32,,7.67,2023,8
비공식작전,(주)쇼박스,2023-08-01,,155.0,드라마,12세이상관람가,7.84,,5.5,2023,8
폭로,(주)메리크리스마스,2023-09-01,145.0,150.0,범죄,12세이상관람가,6.41,,5.83,2023,9
그녀의 취미생활,(주)트리플픽쳐스,2023-08-01,52.0,147.0,미스터리,15세이상관람가,8.06,,5.8,2023,8
한 남자,트윈플러스파트너스(주),2023-08-01,161.0,140.0,범죄,12세이상관람가,8.19,4.6,7.25,2023,8
뮤직 샤펠,해피송,2023-09-01,39.0,139.0,드라마,12세이상관람가,7.64,,6.0,2023,9
살바도르 달리 : 불멸을 찾아서,(주)마노엔터테인먼트,2023-08-01,34.0,139.0,다큐멘터리,12세이상관람가,6.53,,5.0,2023,8
마에스트로,(주)티캐스트,2023-08-01,45.0,137.0,드라마,12세이상관람가,7.05,4.2,5.0,2023,8
마인드 유니버스,영화사빅,2023-09-01,12.0,129.0,SF,12세이상관람가,8.9,,6.0,2023,9
바다 탐험대 옥토넛 어보브 앤 비욘드 : 육지 넘어 하늘까지!,와이드 릴리즈(주),2023-08-01,245.0,129.0,애니메이션,전체관람가,7.7,,,2023,8
키네마의 신,(주)미디어캐슬,2023-10-01,6.0,120.0,드라마,12세이상관람가,8.67,,,2023,10
말없는 소녀,주식회사 슈아픽처스,2023-05-01,52.0,114.0,드라마,전체관람가,8.36,4.8,7.0,2023,5
책 종이 가위,"(주)디오시네마,GATE6",2023-09-01,14.0,106.0,다큐멘터리,전체관람가,7.8,,6.33,2023,9
"안녕, 내일 또 만나","(주)영화사 안다미로,영화로운 형제",2023-09-01,21.0,105.0,드라마,12세이상관람가,9.25,,6.0,2023,9
바비,워너브러더스 코리아(주),2023-07-01,780.0,100.0,기타,12세이상관람가,8.29,2.8,5.5,2023,7
로보카폴리 안전교실 교통편,(주)로이비쥬얼,2022-09-01,16.0,96.0,애니메이션,전체관람가,,,,2022,9
너는 내 아들,"주식회사 블루필름웍스,(주)버킷스튜디오",2023-06-01,117.0,91.0,드라마,12세이상관람가,9.13,4.1,,2023,6
더 도터,"(주)빅브라더스,(주)드림팩트엔터테인먼트",2023-10-01,10.0,90.0,스릴러,15세이상관람가,9.33,,,2023,10
료마! 테니스의 왕자: 디사이드,(주)미디어캐슬,2023-09-01,7.0,89.0,애니메이션,12세이상관람가,10.0,,,2023,9
"1986 그 여름, 그리고 고등어통조림",와이드 릴리즈(주),2023-07-01,111.0,82.0,드라마,12세이상관람가,8.65,,6.6,2023,7
비밀의 언덕,(주)엣나인필름,2023-07-01,56.0,76.0,기타,전체관람가,8.68,,7.2,2023,7
지옥만세,찬란,2023-08-01,65.0,72.0,어드벤처,12세이상관람가,7.96,,6.43,2023,8
범죄도시3,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2023-05-01,,70.0,범죄,15세이상관람가,7.65,4.4,5.5,2023,5
타겟,플러스엠 엔터테인먼트,2023-08-01,986.0,68.0,스릴러,15세이상관람가,6.95,3.9,5.0,2023,8
마야 3: 숲속 왕국의 위기,(주)박수엔터테인먼트,2023-08-01,208.0,65.0,애니메이션,전체관람가,7.73,,6.0,2023,8
힙노틱,"(주)레드아이스 엔터테인먼트,(주)제이앤씨미디어그룹",2023-09-01,113.0,65.0,SF,15세이상관람가,6.52,3.1,4.5,2023,9
커밍 홈 어게인,시네마 뉴원,2023-09-01,12.0,57.0,드라마,전체관람가,8.2,,6.33,2023,9
강변의 무코리타,(주)디스테이션,2023-08-01,131.0,54.0,드라마,12세이상관람가,7.47,,7.0,2023,8
경미의 세계,트윈플러스파트너스(주),2023-09-01,13.0,54.0,드라마,12세이상관람가,8.25,,4.0,2023,9
이누부!,(주)미디어캐슬,2023-10-01,4.0,52.0,가족,전체관람가,0.0,,,2023,10
피닉스 미션,주식회사 풍경소리,2023-09-01,5.0,52.0,전쟁,15세이상관람가,6.0,,,2023,9
노크: 더 하우스,(주)누리픽쳐스,2023-09-01,92.0,51.0,공포(호러),15세이상관람가,6.35,3.1,,2023,9
몬스터 패밀리 2,메가박스중앙(주),2023-08-01,434.0,50.0,애니메이션,전체관람가,8.12,2.3,6.0,2023,8
서울의 봄,플러스엠 엔터테인먼트,2023-11-01,2328,2952902,드라마,12세이상관람가,9.49,4.6,6.67,2023,11
그대들은 어떻게 살 것인가,메가박스중앙(주),2023-10-01,1733,903088,애니메이션,전체관람가,6.98,3.8,7.9,2023,10
더 마블스,월트디즈니컴퍼니코리아 유한책임회사,2023-11-01,1532,686976,액션,12세이상관람가,6.48,2.4,3.67,2023,11
프레디의 피자가게,유니버설픽쳐스인터내셔널 코리아(유),2023-11-01,1041,587136,공포(호러),12세이상관람가,6.77,4.4,4.75,2023,11
소년들,(주)씨제이이엔엠,2023-11-01,1042,452168,드라마,15세이상관람가,7.46,,6.0,2023,11
30일,(주)마인드마크,2023-10-01,1226,283824,코미디,12세이상관람가,7.99,4.7,6.67,2023,10
톡 투 미,"주식회사 올랄라스토리,롯데컬처웍스(주)롯데시네마",2023-11-01,604,184095,공포(호러),15세이상관람가,8.2,3.6,6.67,2023,11
헝거게임: 노래하는 새와 뱀의 발라드,(주)누리픽쳐스,2023-11-01,986,177597,액션,15세이상관람가,7.72,3.4,5.67,2023,11
싱글 인 서울,롯데컬처웍스(주)롯데엔터테인먼트,2023-11-01,917,101741,멜로/로맨스,12세이상관람가,7.41,,6.5,2023,11
뉴 노멀,(주)바이포엠스튜디오,2023-11-01,546,101047,스릴러,15세이상관람가,7.96,,4.5,2023,11
용감한 시민,(주)마인드마크,2023-10-01,887,64528,액션,15세이상관람가,6.87,4.7,5.0,2023,10
괴물,(주)넥스트엔터테인먼트월드(NEW),2023-11-01,647,62624,드라마,12세이상관람가,9.03,4.6,8.0,2023,11
스노우 폭스: 썰매개가 될 거야!,(주)팝엔터테인먼트,2023-11-01,479,53950,애니메이션,전체관람가,7.08,3.4,4.5,2023,11
블루 자이언트,판씨네마(주),2023-10-01,574,44953,애니메이션,12세이상관람가,8.7,,6.67,2023,10
이빨요정 비올레타: 요정나라로 돌아갈래!,TCO(주)더콘텐츠온,2023-11-01,298,44866,애니메이션,전체관람가,8.04,,5.5,2023,11
더 와일드: 야수들의 전쟁,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹,(주)아센디오",2023-11-01,239,41260,액션,청소년관람불가,7.91,,3.0,2023,11
1947 보스톤,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",2023-09-01,1282,32078,드라마,12세이상관람가,7.83,,5.67,2023,9
플라워 킬링 문,롯데컬처웍스(주)롯데엔터테인먼트,2023-10-01,719,31473,범죄,청소년관람불가,,3.1,7.5,2023,10
테일러 스위프트 디 에라스 투어,씨제이포디플렉스 주식회사,2023-11-01,51,30232,공연,전체관람가,8.0,,,2023,11
비투비 타임 : 비투게더 더 무비,(주)케이티알파,2023-11-01,32,28775,공연,전체관람가,9.6,,,2023,11
여귀교- 저주를 부르는 게임,"메가박스중앙(주),(주)스튜디오 산타클로스엔터테인먼트,(주)블레이드이엔티",2023-11-01,401,27632,공포(호러),15세이상관람가,8.15,,5.0,2023,11
마이 샤이니 월드,메가박스중앙(주),2023-11-01,118,23450,공연,전체관람가,9.3,,,2023,11
퍼피 구조대: 더 마이티 무비,롯데컬처웍스(주)롯데엔터테인먼트,2023-10-01,566,22523,애니메이션,전체관람가,8.35,4.3,,2023,10
사채소년,영화사빅,2023-11-01,211,20786,액션,15세이상관람가,6.57,,5.0,2023,11
스즈메의 문단속,(주)쇼박스,2023-03-01,1486,18917,애니메이션,12세이상관람가,8.45,4.6,7.6,2023,3
어른 김장하,(주)시네마달,2023-11-01,98,18008,다큐멘터리,전체관람가,9.5,,6.0,2023,11
시뮬런트,(주)영화특별시에스엠씨,2023-11-01,265,17580,SF,15세이상관람가,7.43,2.9,4.0,2023,11
바람 따라 만나리 : 김호중의 계절,"씨제이포디플렉스 주식회사,CGV ICECON",2023-10-01,78,15665,공연,전체관람가,9.79,,,2023,10
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,메가박스중앙(주),2023-10-01,78,15335,애니메이션,전체관람가,,,,2023,10
너와 나,"주식회사 필름영,그린나래미디어(주)",2023-10-01,76,15278,드라마,12세이상관람가,8.77,,,2023,10
키리에의 노래,이화배컴퍼니(주),2023-11-01,248,13514,드라마,15세이상관람가,6.54,,5.67,2023,11
원 모어 찬스,(주)팝엔터테인먼트,2023-11-01,121,13048,드라마,12세이상관람가,6.33,,4.67,2023,11
마브카 : 숲의 노래,(주)팝엔터테인먼트,2023-10-01,489,12891,애니메이션,전체관람가,7.8,4.1,6.0,2023,10
극장판 파워 디지몬 더 비기닝,에스엠지홀딩스 주식회사,2023-11-01,197,12505,애니메이션,12세이상관람가,5.39,2.8,7.0,2023,11
녹야,(주)스튜디오디에이치엘,2023-11-01,137,12049,드라마,15세이상관람가,7.04,,5.0,2023,11
극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,메가박스중앙(주),2023-10-01,79,11859,애니메이션,전체관람가,,,,2023,10
세계를 뒤흔든 43일,"(주)드림팩트엔터테인먼트,(주)빅브라더스",2023-11-01,35,11663,다큐멘터리,전체관람가,7.54,,,2023,11
괴인,(주)영화사 진진,2023-11-01,79,11102,드라마,15세이상관람가,7.79,,8.5,2023,11
빌리와 용감한 녀석들: 황금 달걀 구조대,(주)박수엔터테인먼트,2023-10-01,306,10784,애니메이션,전체관람가,8.5,,,2023,10
만분의 일초,(주)더쿱디스트리뷰션,2023-11-01,74,10653,액션,12세이상관람가,8.54,,6.25,2023,11
더 퍼스트 슬램덩크,(주)넥스트엔터테인먼트월드(NEW),2023-01-01,1023,9958,애니메이션,12세이상관람가,9.25,4.5,7.67,2023,1
금의 나라 물의 나라,(주)이놀미디어,2023-11-01,141,8326,애니메이션,전체관람가,7.49,,7.0,2023,11
화란,플러스엠 엔터테인먼트,2023-10-01,976,8015,드라마,15세이상관람가,6.9,,6.5,2023,10
빅슬립,찬란,2023-11-01,61,7588,드라마,15세이상관람가,7.95,,6.8,2023,11
나의 피투성이 연인,"(주)디오시네마,㈜인디스토리",2023-11-01,45,7315,드라마,12세이상관람가,8.09,,6.0,2023,11
다이브: 100 피트 추락,와이드 릴리즈(주),2023-11-01,109,6776,스릴러,12세이상관람가,6.31,3.0,4.33,2023,11
극장판 우당탕탕 은하안전단: 진정한 용기!,(주)넥스트엔터테인먼트월드(NEW),2023-11-01,261,6653,애니메이션,전체관람가,8.44,,6.0,2023,11
명탐정코난: 흑철의 어영,(주)씨제이이엔엠,2023-07-01,1030,6166,애니메이션,12세이상관람가,8.56,,6.0,2023,7
오픈 더 도어,"(주)콘텐츠판다,(주)비에이엔터테인먼트",2023-10-01,213,5246,미스터리,15세이상관람가,6.63,,5.0,2023,10
약속,엠라인디스트리뷰션(주),2023-11-01,42,4919,다큐멘터리,전체관람가,9.25,,7.4,2023,11
수라,"스튜디오두마,미디어나무(주),스튜디오 에이드",2023-06-01,136,4776,다큐멘터리,전체관람가,,,8.0,2023,6
더 킬러,씨제이 씨지브이(CJ CGV)(주),2023-10-01,78,3988,스릴러,15세이상관람가,7.41,2.6,7.0,2023,10
극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,(주)넥스트엔터테인먼트월드(NEW),2023-09-01,601,3424,애니메이션,전체관람가,8.41,,5.0,2023,9
두 사람을 위한 식탁,필름다빈,2023-10-01,37,3165,다큐멘터리,12세이상관람가,8.56,,6.33,2023,10
본 투 플라이,와이드 릴리즈(주),2023-11-01,72,3135,액션,12세이상관람가,6.67,,4.0,2023,11
5시부터 7시까지의 주희,"(주)모쿠슈라,㈜인디스토리",2023-11-01,41,2182,드라마,12세이상관람가,9.2,,6.33,2023,11
엘리멘탈,월트디즈니컴퍼니코리아 유한책임회사,2023-06-01,1251,2097,애니메이션,전체관람가,8.92,,7.29,2023,6
천박사 퇴마 연구소: 설경의 비밀,(주)씨제이이엔엠,2023-09-01,1511,2031,판타지,12세이상관람가,7.03,,5.0,2023,9
바비 IMAX,워너브러더스 코리아(주),2023-11-01,20,1724,드라마,12세이상관람가,8.0,,,2023,11
그림자 고백,와이드 릴리즈(주),2023-11-01,7,1653,드라마,15세이상관람가,9.75,,,2023,11
느티나무 아래,"미디어나무(주),스튜디오 에이드",2023-11-01,13,1596,다큐멘터리,전체관람가,10.0,,5.5,2023,11
백지영 콘서트 인 시네마,"롯데컬처웍스(주)롯시플,(주)영화사 그램",2023-11-01,47,1558,공연,전체관람가,8.2,,,2023,11
아버지의 마음,"(주)드림팩트엔터테인먼트,파이오니아21",2023-07-01,85,1486,다큐멘터리,전체관람가,9.33,,,2023,7
독친,(주)트리플픽쳐스,2023-11-01,52,1434,공포(호러),15세이상관람가,5.8,,5.33,2023,11
시수,(주)이놀미디어,2023-10-01,175,1428,액션,청소년관람불가,7.47,3.8,6.0,2023,10
타임코드 57,(주)무비다이브,2023-11-01,47,1424,SF,12세이상관람가,5.33,2.9,,2023,11
