영화제목,유통회사명,개봉일,총스크린수,관람인원수,장르,등급,네이버_평점,구글_평점,씨네21_평점,개봉년도,개봉월
프라도 위대한 미술관,CGV ICECON,20210609.0,22.0,,다큐멘터리,전체관람가,,,,2021,06
더 스파이,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",20210428.0,710.0,,스릴러,15세이상관람가,8.56,4.6,6.0,2021,04
아들의 이름으로,(주)엣나인필름,20210512.0,423.0,,드라마,12세이상관람가,6.75,,4.0,2021,05
더 데빌,CGV ICECON,20210623.0,19.0,,뮤지컬,15세이상관람가,2.95,,6.0,2021,06
신해석 삼국지,"(주)리틀빅픽쳐스,(주)레드로버",20210624.0,17.0,,코미디,12세이상관람가,6.22,,4.5,2021,06
슈퍼노바,(주)디스테이션,20210512.0,184.0,,드라마,15세이상관람가,,,4.5,2021,05
뱅퀴시,(주)까멜리아이엔티,20210624.0,48.0,,액션,15세이상관람가,4.31,1.8,5.0,2021,06
까치발,(주)시네마달,20210603.0,27.0,975.0,다큐멘터리,12세이상관람가,8.24,,6.25,2021,06
데이팅 앰버,주식회사 왓챠,20210623.0,33.0,955.0,코미디,15세이상관람가,9.13,4.7,,2021,06
내겐 너무 소중한 너,(주)파인스토리,20210512.0,449.0,946.0,드라마,12세이상관람가,,4.9,5.0,2021,05
쿠사마 야요이: 무한의 세계,오드,20210519.0,38.0,919.0,다큐멘터리,전체관람가,9.14,,6.0,2021,05
포겟 미 낫-엄마에게 쓰는 편지,커넥트픽쳐스(주),20210603.0,33.0,878.0,다큐멘터리,12세이상관람가,8.33,,7.0,2021,06
"좋은 빛, 좋은 공기",(주)엣나인필름,20210428.0,62.0,694.0,다큐멘터리,12세이상관람가,8.33,,7.0,2021,04
명탐정 코난: 비색의 탄환,(주)씨제이이엔엠,20210416.0,844.0,692.0,애니메이션,12세이상관람가,9.04,4.7,,2021,04
북샵,(주)콘텐츠판다,20210624.0,9.0,640.0,드라마,전체관람가,8.91,4.3,7.0,2021,06
"쿠오바디스,아이다",M&M 인터내셔널,20210519.0,44.0,639.0,드라마,15세이상관람가,8.82,4.7,7.67,2021,05
2067,예지림엔터테인먼트,20210603.0,36.0,509.0,어드벤처,12세이상관람가,3.81,2.7,3.67,2021,06
라야와 마지막 드래곤,월트디즈니컴퍼니코리아 유한책임회사,20210304.0,,500.0,애니메이션,전체관람가,9.44,4.4,6.0,2021,03
우리는 매일매일,㈜인디스토리,20210630.0,30.0,468.0,다큐멘터리,12세이상관람가,9.75,,6.5,2021,06
극장판 바다 탐험대 옥토넛 : 불의 고리 대폭발,주식회사 컨텐츠썬,20210428.0,183.0,467.0,애니메이션,전체관람가,9.26,,6.0,2021,04
레일로드 워,(주)디스테이션,20210630.0,45.0,466.0,액션,12세이상관람가,3.78,,5.0,2021,06
폭력의 그림자,(주)디오시네마,20210617.0,33.0,416.0,범죄,청소년관람불가,6.17,3.9,6.0,2021,06
"식물카페, 온정",매치컷(주),20210624.0,19.0,410.0,기타,전체관람가,7.07,,5.0,2021,06
신 테니스의 왕자 효테이 vs 릿카이 : 게임 오브 퓨처 후편,(주)얼리버드픽쳐스,20210609.0,11.0,368.0,애니메이션,전체관람가,8.0,,,2021,06
전주에서 길을 묻다,주식회사 씨엠닉스,20210601.0,1.0,360.0,드라마,12세이상관람가,7.0,,,2021,06
열아홉,(주)리틀빅픽쳐스,20210630.0,26.0,310.0,드라마,15세이상관람가,8.0,,5.0,2021,06
"조제, 호랑이 그리고 물고기들",(주)팝엔터테인먼트,20210331.0,399.0,305.0,애니메이션,12세이상관람가,7.77,,7.0,2021,03
자산어보,메가박스중앙(주)플러스엠,20210331.0,,297.0,사극,12세이상관람가,9.02,,7.0,2021,03
푸드 몬스터,(주)이놀미디어,20210519.0,62.0,292.0,애니메이션,전체관람가,,,5.0,2021,05
네가 내가 되었으면 좋겠다,주식회사 씨엠닉스,20210601.0,1.0,280.0,기타,12세이상관람가,8.11,,2.0,2021,06
범털 2: 쩐의 전쟁,(주)피터팬픽쳐스,20210513.0,30.0,271.0,범죄,15세이상관람가,8.4,,,2021,05
고질라 VS. 콩,워너브러더스 코리아(주),20210325.0,,250.0,액션,12세이상관람가,8.89,4.3,5.75,2021,03
"2021 스웨그 에이지 : 외쳐, 조선!",(주)위즈온센,20210513.0,34.0,244.0,뮤지컬,12세이상관람가,9.4,,,2021,05
비커밍 아스트리드,알토미디어(주),20210512.0,70.0,241.0,드라마,15세이상관람가,8.0,,6.0,2021,05
정말 먼 곳,그린나래미디어(주),20210318.0,204.0,207.0,드라마,12세이상관람가,8.79,,7.2,2021,03
소울,월트디즈니컴퍼니코리아 유한책임회사,20210120.0,,204.0,애니메이션,전체관람가,9.32,4.7,8.5,2021,01
쇼크 웨이브 2,(주)누리픽쳐스,20210520.0,61.0,191.0,액션,15세이상관람가,8.61,4.1,4.0,2021,05
꼬마 마법사 레미 : 견습 마법사를 찾아서,(주)얼리버드픽쳐스,20210519.0,65.0,182.0,애니메이션,12세이상관람가,7.64,,,2021,05
스쿨 오브 락(樂),(주)드림팩트엔터테인먼트,20210513.0,7.0,177.0,다큐멘터리,전체관람가,8.63,,,2021,05
비와 당신의 이야기,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",20210428.0,957.0,173.0,드라마,전체관람가,7.87,4.6,5.0,2021,04
좀비크러쉬: 헤이리,필름다빈,20210630.0,23.0,171.0,코미디,15세이상관람가,4.69,,4.67,2021,06
소리에 놀라지 않는 사자처럼,(주)드림팩트엔터테인먼트,20210519.0,8.0,167.0,다큐멘터리,전체관람가,6.44,,5.0,2021,05
아르코 라이브 뮤지컬 인사이드 윌리엄,(주)아이디어랩,20210526.0,14.0,127.0,공연,전체관람가,,,,2021,05
아이들은 즐겁다,"메가박스중앙(주)플러스엠,(주)영화사울림",20210505.0,445.0,89.0,드라마,전체관람가,9.11,,6.5,2021,05
토토리! 우리 둘만의 여름,(주)팝엔터테인먼트,20210519.0,63.0,69.0,어드벤처,전체관람가,10.0,,6.0,2021,05
바보,(주)라온컴퍼니플러스,20210610.0,1.0,60.0,드라마,전체관람가,8.07,,5.0,2021,06
저승보다 낯선,(주)스튜디오 보난자,20210630.0,9.0,58.0,드라마,15세이상관람가,7.4,,5.0,2021,06
미션 파서블,(주)메리크리스마스,20210217.0,930.0,52.0,코미디,15세이상관람가,8.41,4.8,4.5,2021,02
크라이시스,(주)누리픽쳐스,20210520.0,50.0,50.0,드라마,15세이상관람가,7.62,4.0,4.5,2021,05
내일의 기억,"(주)아이필름코퍼레이션,씨제이 씨지브이(CJ CGV)(주)",20210421.0,957.0,49.0,미스터리,15세이상관람가,8.76,4.8,6.0,2021,04
더 배니싱,주식회사 디에스이이디,20210630.0,5.0,47.0,공포(호러),15세이상관람가,3.57,,,2021,06
레저렉션 이펙트,(유)조이앤시네마,20210601.0,21.0,30.0,SF,청소년관람불가,1.0,,,2021,06
흐린 하늘에 웃다,(주)미디어캐슬,20210616.0,3.0,27.0,액션,15세이상관람가,5.71,,4.0,2021,06
어른들은 몰라요,(주)리틀빅픽쳐스,20210415.0,209.0,25.0,드라마,청소년관람불가,6.89,4.1,6.0,2021,04
홀로도모르:우크라이나 대학살,세도나아이(주),20210606.0,1.0,25.0,드라마,15세이상관람가,,,,2021,06
써니,(주)콘텐츠판다,20210526.0,6.0,24.0,드라마,15세이상관람가,9.12,4.9,6.25,2021,05
더 엑시트,(유)조이앤시네마,20210622.0,18.0,23.0,판타지,15세이상관람가,4.0,,,2021,06
파리의 별빛 아래,판씨네마(주),20210505.0,34.0,22.0,드라마,전체관람가,9.12,4.2,6.0,2021,05
구독좋아요알림설정,주식회사 왓챠,20210519.0,16.0,21.0,코미디,청소년관람불가,7.42,4.2,,2021,05
레 미제라블,(주)영화사 진진,20210415.0,97.0,21.0,드라마,15세이상관람가,8.67,4.5,7.0,2021,04
코지 판 투테,(주)케빈앤컴퍼니,20210418.0,7.0,21.0,공연,12세이상관람가,,,,2021,04
B급 청춘,유한회사 영화사 반딧불,20210616.0,5.0,18.0,드라마,15세이상관람가,,,,2021,06
스파이의 아내,M&M 인터내셔널,20210325.0,120.0,13.0,드라마,12세이상관람가,8.68,,8.0,2021,03
링: 더 라스트 챕터,(주)박수엔터테인먼트,20210512.0,85.0,12.0,미스터리,15세이상관람가,3.67,,4.0,2021,05
비밀의 정원,필름다빈,20210408.0,159.0,9.0,드라마,12세이상관람가,7.5,,6.0,2021,04
아무도 없는 곳,(주)엣나인필름,20210331.0,374.0,9.0,드라마,15세이상관람가,7.75,,5.67,2021,03
글래디에이터 드래곤,(유)조이앤시네마,20210625.0,8.0,8.0,판타지,15세이상관람가,2.0,,,2021,06
"무순, 세상을 가로질러",영화배급협동조합 씨네소파,20210422.0,17.0,8.0,다큐멘터리,전체관람가,8.4,,5.67,2021,04
스프링 송,"주식회사 컨텐츠썬,(주)아우라픽처스",20210421.0,48.0,6.0,드라마,전체관람가,8.16,,6.0,2021,04
미스,"예지림엔터테인먼트,주식회사 더쿱",20210512.0,105.0,3.0,코미디,15세이상관람가,,4.7,5.5,2021,05
내가 죽기를 바라는 자들,워너브러더스 코리아(주),20210505.0,669.0,2.0,범죄,15세이상관람가,,3.2,6.0,2021,05
컴 애즈 유 아,찬란,20210506.0,19.0,2.0,코미디,15세이상관람가,,4.7,5.5,2021,05
배틀로얄 : 매드랜드,(주)까멜리아이엔티,20210610.0,1.0,1.0,액션,15세이상관람가,2.23,,,2021,06
적호서생,찬란,20210429.0,23.0,1.0,액션,12세이상관람가,7.24,,6.0,2021,04
모가디슈,롯데컬처웍스(주)롯데엔터테인먼트,2021-07-,,,액션,15세이상관람가,8.66,4.6,7.5,2021,07
블랙 위도우,월트디즈니컴퍼니코리아 유한책임회사,2021-07-,,,액션,12세이상관람가,9.0,4.1,6.5,2021,07
싱크홀,(주)쇼박스,2021-08-,,,코미디,12세이상관람가,6.87,4.7,5.0,2021,08
인질,(주)넥스트엔터테인먼트월드(NEW),2021-08-,,,액션,15세이상관람가,7.02,,5.8,2021,08
보스 베이비 2,유니버설픽쳐스인터내셔널 코리아(유),2021-07-,,,애니메이션,전체관람가,8.96,4.4,5.5,2021,07
랑종,(주)쇼박스,2021-07-,,,공포(호러),청소년관람불가,6.59,3.4,6.88,2021,07
발신제한,(주)씨제이이엔엠,2021-06-,,,스릴러,15세이상관람가,7.57,4.5,5.67,2021,06
크루엘라,월트디즈니컴퍼니코리아 유한책임회사,2021-05-,,,드라마,12세이상관람가,9.21,4.7,6.4,2021,05
더 수어사이드 스쿼드,워너브러더스 코리아(주),2021-08-,,,액션,청소년관람불가,7.94,3.6,7.17,2021,08
프리 가이,월트디즈니컴퍼니코리아 유한책임회사,2021-08-,750.0,,액션,12세이상관람가,8.47,4.6,6.75,2021,08
정글 크루즈,월트디즈니컴퍼니코리아 유한책임회사,2021-07-,831.0,,액션,12세이상관람가,7.52,4.1,5.33,2021,07
이스케이프 룸 2: 노 웨이 아웃,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-07-,728.0,,액션,15세이상관람가,8.11,3.9,6.0,2021,07
콰이어트 플레이스 2,롯데컬처웍스(주)롯데엔터테인먼트,2021-06-,,,스릴러,15세이상관람가,8.66,4.3,6.5,2021,06
방법: 재차의,(주)씨제이이엔엠,2021-07-,838.0,,미스터리,15세이상관람가,7.37,4.4,6.0,2021,07
올드,유니버설픽쳐스인터내셔널 코리아(유),2021-08-,551.0,,공포(호러),12세이상관람가,6.81,2.6,5.0,2021,08
루카,월트디즈니컴퍼니코리아 유한책임회사,2021-06-,856.0,,애니메이션,전체관람가,9.16,4.6,7.0,2021,06
킬러의 보디가드 2,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021-06-,975.0,,액션,청소년관람불가,7.3,3.9,5.5,2021,06
귀문,씨제이 씨지브이(CJ CGV)(주),2021-08-,692.0,,미스터리,15세이상관람가,6.15,,4.67,2021,08
미드나이트,씨제이 씨지브이(CJ CGV)(주),2021-06-,693.0,,스릴러,15세이상관람가,,4.3,3.5,2021,06
극장판 도라에몽: 진구의 신공룡,(주)리틀빅픽쳐스,2021-08-,502.0,,애니메이션,전체관람가,8.79,4.8,6.0,2021,08
퍼피 구조대 더 무비,롯데컬처웍스(주)롯데엔터테인먼트,2021-08-,355.0,,애니메이션,전체관람가,9.46,4.5,5.0,2021,08
꽃다발 같은 사랑을 했다,"(주)리틀빅픽쳐스,(주)레드로버",2021-07-,198.0,,멜로/로맨스,12세이상관람가,8.47,4.9,6.5,2021,07
레미니센스,워너브러더스 코리아(주),2021-08-,548.0,,SF,12세이상관람가,6.71,3.3,5.0,2021,08
은혼 더 파이널,워터홀컴퍼니(주),2021-07-,170.0,,애니메이션,15세이상관람가,9.18,4.9,5.0,2021,07
인 더 하이츠,워너브러더스 코리아(주),2021-06-,649.0,,뮤지컬,12세이상관람가,,4.4,6.75,2021,06
괴기맨숀,(주)콘텐츠판다,2021-06-,131.0,,공포(호러),15세이상관람가,6.33,4.0,6.0,2021,06
아이스 로드,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2021-07-,344.0,,스릴러,12세이상관람가,8.0,3.0,5.33,2021,07
컨저링3: 악마가 시켰다,워너브러더스 코리아(주),2021-06-,,,공포(호러),15세이상관람가,8.1,4.1,5.75,2021,06
여름날 우리,"찬란,메가박스중앙(주)",2021-08-,262.0,,코미디,12세이상관람가,7.96,4.6,6.0,2021,08
그린 나이트,(주)팝엔터테인먼트,2021-08-,235.0,,어드벤처,15세이상관람가,7.04,2.6,8.5,2021,08
스페이스 잼: 새로운 시대,워너브러더스 코리아(주),2021-07-,521.0,,애니메이션,전체관람가,7.0,3.1,4.5,2021,07
체르노빌 1986,(주)팝엔터테인먼트,2021-06-,182.0,,액션,12세이상관람가,8.46,2.9,4.5,2021,06
오필리아,(주)홈초이스,2021-07-,117.0,,멜로/로맨스,15세이상관람가,7.53,4.4,5.33,2021,07
블랙핑크 더 무비,씨제이포디플렉스 주식회사,2021-08-,147.0,,공연,전체관람가,8.88,,,2021,08
이번엔 잘 되겠지,THE 픽쳐스,2021-07-,48.0,,코미디,15세이상관람가,8.67,,,2021,07
호스트: 접속금지,(주)넥스트엔터테인먼트월드(NEW),2021-07-,148.0,,공포(호러),15세이상관람가,,3.9,5.67,2021,07
분노의 질주: 더 얼티메이트,유니버설픽쳐스인터내셔널 코리아(유),2021-05-,,,액션,12세이상관람가,8.75,3.1,5.75,2021,05
빛나는 순간,"(주)명필름,(주)씨네필운",2021-06-,267.0,,드라마,12세이상관람가,8.48,,6.75,2021,06
피닉스,M&M 인터내셔널,2021-07-,54.0,,드라마,12세이상관람가,7.17,4.5,6.0,2021,07
남색대문,오드,2021-08-,79.0,,드라마,12세이상관람가,8.54,,5.67,2021,08
팜 스프링스,(주)디스테이션,2021-08-,83.0,,코미디,15세이상관람가,7.41,4.5,6.0,2021,08
코다,판씨네마(주),2021-08-,293.0,,드라마,12세이상관람가,,4.8,6.33,2021,08
매직아치,(주)영화사 빅,2021-07-,181.0,,애니메이션,전체관람가,8.67,,5.0,2021,07
"우리, 둘","그린나래미디어(주),(주)버킷스튜디오",2021-07-,54.0,,드라마,12세이상관람가,8.0,4.6,6.67,2021,07
액션히어로,(주)트리플픽쳐스,2021-07-,110.0,,액션,12세이상관람가,7.65,,6.5,2021,07
극장판 귀멸의 칼날: 무한열차편,워터홀컴퍼니(주),2021-01-,380.0,,애니메이션,15세이상관람가,,4.9,6.0,2021,01
나는 나대로 혼자서 간다,(주)영화사 진진,2021-07-,23.0,,드라마,12세이상관람가,8.19,,5.5,2021,07
다크 앤드 위키드,와이드 릴리즈(주),2021-06-,164.0,,공포(호러),15세이상관람가,7.0,3.6,7.0,2021,06
블라이스 스피릿,(주)이놀미디어,2021-06-,135.0,,판타지,12세이상관람가,6.0,2.9,4.5,2021,06
학교 가는 길,(주)영화사 진진,2021-05-,90.0,,다큐멘터리,12세이상관람가,9.88,,7.67,2021,05
와인 패밀리,해피송,2021-07-,35.0,,드라마,12세이상관람가,7.14,4.3,4.67,2021,07
트립 투 그리스,"찬란,하이, 스트레인저",2021-07-,48.0,,코미디,15세이상관람가,7.0,3.1,6.0,2021,07
갈매기,(주)영화사 진진,2021-07-,42.0,,드라마,15세이상관람가,,,6.5,2021,07
더 퍼지: 포에버,유니버설픽쳐스인터내셔널 코리아(유),2021-07-,52.0,,스릴러,청소년관람불가,6.24,3.2,7.0,2021,07
다이노 마이 프렌드,(주)박수엔터테인먼트,2021-08-,185.0,,애니메이션,전체관람가,5.07,,5.0,2021,08
웬디,"(주)영화사 진진,하이, 스트레인저",2021-06-,79.0,,드라마,12세이상관람가,5.3,2.8,5.5,2021,06
워스,(주)홈초이스,2021-07-,65.0,,드라마,12세이상관람가,8.25,4.4,6.5,2021,07
잘리카투,주식회사 슈아픽처스,2021-08-,45.0,,액션,15세이상관람가,7.27,4.0,6.67,2021,08
시카다 3301,(주)블루라벨픽쳐스,2021-07-,26.0,,액션,청소년관람불가,6.92,,,2021,07
극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,(주)애니플러스,2021-08-,44.0,,애니메이션,15세이상관람가,8.0,,,2021,08
크레센도,(주)티캐스트,2021-06-,57.0,,드라마,12세이상관람가,8.7,,5.0,2021,06
암살자들,"주식회사 왓챠,주식회사 더쿱",2021-08-,39.0,,다큐멘터리,15세이상관람가,8.67,,5.67,2021,08
낫아웃,"(주)케이티알파,판씨네마(주)",2021-06-,203.0,,드라마,15세이상관람가,7.74,,6.67,2021,06
킬러의 보디가드 2: 킬러의 와이프,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",2021-08-,30.0,,액션,15세이상관람가,7.3,3.9,,2021,08
더 그레이트 샤크,(주)제이앤씨미디어그룹,2021-08-,106.0,,공포(호러),12세이상관람가,4.03,2.3,3.0,2021,08
귀신,(주)스튜디오 보난자,2021-08-,31.0,,공포(호러),청소년관람불가,8.01,,4.0,2021,08
박강아름 결혼하다,(주)영화사 진진,2021-08-,32.0,,다큐멘터리,전체관람가,8.9,,5.8,2021,08
코드 카림,(주)월드시네마,2021-08-,21.0,,액션,15세이상관람가,4.73,,4.33,2021,08
옥스포드 살인사건,(주)팝엔터테인먼트,2021-07-,91.0,,범죄,15세이상관람가,5.81,,5.33,2021,07
뱅드림! 로젤리아 에피소드Ⅰ: 약속,(주)애니플러스,2021-06-,141.0,,애니메이션,전체관람가,9.14,,6.0,2021,06
숏버스 이별행,"언더식스티,(주)퍼니콘",2021-07-,53.0,,코미디,15세이상관람가,7.88,,6.0,2021,07
나만 보이니,(주)디스테이션,2021-07-,84.0,,공포(호러),15세이상관람가,5.09,,3.0,2021,07
우리는 매일매일,㈜인디스토리,2021-06-,30.0,,다큐멘터리,12세이상관람가,9.75,,6.5,2021,06
여고괴담 여섯번째 이야기 : 모교,"(주)케이티알파,씨제이 씨지브이(CJ CGV)(주)",2021-06-,603.0,,미스터리,15세이상관람가,5.59,,4.25,2021,06
상견니,오드,2021-08-,92.0,,드라마,12세이상관람가,7.58,,5.25,2021,08
생각의 여름,㈜인디스토리,2021-08-,41.0,,드라마,12세이상관람가,,,6.0,2021,08
아이윌 송,(주)라이크콘텐츠,2021-07-,34.0,,드라마,12세이상관람가,8.4,,4.0,2021,07
자산어보,메가박스중앙(주)플러스엠,2021-03-,,,사극,12세이상관람가,9.02,,7.0,2021,03
노매드랜드,월트디즈니컴퍼니코리아 유한책임회사,2021-04-,181.0,,드라마,12세이상관람가,8.53,3.9,8.0,2021,04
온 더 로드,CGV ICECON,2021-07-,18.0,,다큐멘터리,전체관람가,7.84,3.7,5.67,2021,07
바디 브로커,(주)스마일이엔티,2021-07-,52.0,,범죄,15세이상관람가,7.2,4.4,,2021,07
자마,M&M 인터내셔널,2021-08-,34.0,,드라마,15세이상관람가,7.58,,8.25,2021,08
메이드 인 루프탑,(주)엣나인필름,2021-06-,77.0,,드라마,15세이상관람가,8.45,,6.0,2021,06
더 파더,판씨네마(주),2021-04-,348.0,,드라마,12세이상관람가,8.9,4.7,7.14,2021,04
어웨이,(주)씨네필운,2021-08-,19.0,,애니메이션,전체관람가,,,6.33,2021,08
CCTV,마루아트센터(주),2021-07-,1.0,,공포(호러),15세이상관람가,10.0,,4.0,2021,07
언더그라운드,(주)시네마달,2021-08-,19.0,,다큐멘터리,12세이상관람가,5.22,4.2,9.22,2021,08
프랑켄슈타인,CGV ICECON,2021-08-,12.0,,공연,15세이상관람가,6.33,3.9,6.17,2021,08
미나리,판씨네마(주),2021-03-,,951.0,드라마,12세이상관람가,8.32,4.3,7.57,2021,03
북샵,(주)콘텐츠판다,2021-06-,9.0,921.0,드라마,전체관람가,8.91,4.3,7.0,2021,06
아담,시네마 뉴원,2021-08-,29.0,900.0,드라마,12세이상관람가,,,8.0,2021,08
샤먼 로드,강 컨텐츠,2021-07-,5.0,884.0,다큐멘터리,12세이상관람가,8.86,,,2021,07
사랑하고 사랑받고 차고 차이고,주식회사 컨텐츠썬,2021-06-,155.0,854.0,드라마,12세이상관람가,9.83,,6.0,2021,06
레일로드 워,(주)디스테이션,2021-06-,45.0,832.0,액션,12세이상관람가,3.78,,5.0,2021,06
흩어진 밤,영화배급협동조합 씨네소파,2021-06-,49.0,808.0,드라마,전체관람가,7.38,,6.33,2021,06
자메이카의 소울: 이나 데 야드,(주)엣나인필름,2021-07-,12.0,789.0,다큐멘터리,12세이상관람가,10.0,,6.33,2021,07
피어 오브 레인,(주)누리픽쳐스,2021-07-,47.0,780.0,드라마,15세이상관람가,6.33,4.2,5.0,2021,07
어른들은 몰라요,(주)리틀빅픽쳐스,2021-04-,209.0,778.0,드라마,청소년관람불가,6.89,4.1,6.0,2021,04
좀비크러쉬: 헤이리,필름다빈,2021-06-,23.0,726.0,코미디,15세이상관람가,4.69,,4.67,2021,06
극장판 콩순이: 장난감나라 대모험,(주)넥스트엔터테인먼트월드(NEW),2021-05-,690.0,722.0,애니메이션,전체관람가,9.11,,6.0,2021,05
클라이밍,(주)트리플픽쳐스,2021-06-,110.0,718.0,애니메이션,15세이상관람가,5.76,,6.0,2021,06
열아홉,(주)리틀빅픽쳐스,2021-06-,26.0,633.0,드라마,15세이상관람가,8.0,,5.0,2021,06
아야와 마녀,(주)리틀빅픽쳐스,2021-06-,362.0,598.0,애니메이션,전체관람가,9.58,3.5,5.0,2021,06
청춘선거,아이 엠,2021-06-,27.0,550.0,다큐멘터리,12세이상관람가,7.19,,5.67,2021,06
그레타 툰베리,(주)영화사 진진,2021-06-,30.0,525.0,다큐멘터리,전체관람가,5.05,2.9,6.0,2021,06
미션 임파서블: 루벤,예지림엔터테인먼트,2021-07-,26.0,502.0,애니메이션,15세이상관람가,8.36,,6.33,2021,07
화이트 온 화이트,"대성필름,시네마 뉴원",2021-06-,34.0,494.0,드라마,12세이상관람가,,,7.0,2021,06
더 나이트,와이드 릴리즈(주),2021-07-,25.0,490.0,공포(호러),15세이상관람가,,3.5,5.0,2021,07
"식물카페, 온정",매치컷(주),2021-06-,19.0,475.0,기타,전체관람가,7.07,,5.0,2021,06
숏버스 감성행,"언더식스티,(주)퍼니콘",2021-08-,14.0,464.0,멜로/로맨스,12세이상관람가,8.0,,,2021,08
더 레치드: 악령의 저주,(주)드림팩트엔터테인먼트,2021-07-,19.0,433.0,판타지,15세이상관람가,,3.5,4.5,2021,07
파이프라인,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스",2021-05-,777.0,424.0,범죄,15세이상관람가,,,,2021,05
플래시백,판씨네마(주),2021-06-,145.0,386.0,드라마,15세이상관람가,0.0,,4.33,2021,06
캐논볼,(주)이놀미디어,2021-08-,12.0,349.0,드라마,12세이상관람가,8.09,4.5,5.33,2021,08
뮤턴트 워,주식회사 풍경소리,2021-07-,5.0,340.0,SF,15세이상관람가,4.75,,,2021,07
아메리칸 히트맨,(주)씨네마블랙,2021-07-,5.0,340.0,액션,청소년관람불가,4.8,,,2021,07
트리거 포인트,(주)타임앤드스페이스,2021-07-,5.0,340.0,액션,15세이상관람가,6.23,3.6,,2021,07
뱅퀴시,(주)까멜리아이엔티,2021-06-,48.0,330.0,액션,15세이상관람가,4.31,1.8,5.0,2021,06
인트로덕션,"(주)영화제작전원사 ,(주)콘텐츠판다",2021-05-,91.0,325.0,기타,12세이상관람가,8.09,,8.0,2021,05
부활: 그 증거,(주)영화사 진진,2020-10-,111.0,315.0,다큐멘터리,전체관람가,9.82,,4.0,2020,10
까치발,(주)시네마달,2021-06-,27.0,314.0,다큐멘터리,12세이상관람가,8.24,,6.25,2021,06
사보타지 1941,(주)박수엔터테인먼트,2021-08-,5.0,300.0,드라마,15세이상관람가,6.67,,,2021,08
카발레리아 루스티카나,일미디어,2021-07-,9.0,274.0,공연,12세이상관람가,0.0,,,2021,07
올리버 색스: 그의 생애,하준사,2021-08-,9.0,273.0,다큐멘터리,12세이상관람가,7.5,,7.0,2021,08
페이블,"(주)콘텐츠판다,쇼치쿠",2021-07-,5.0,269.0,코미디,15세이상관람가,6.63,,,2021,07
포이즌 로즈,예지림엔터테인먼트,2021-07-,14.0,247.0,스릴러,15세이상관람가,5.0,,4.33,2021,07
저승보다 낯선,(주)스튜디오 보난자,2021-06-,9.0,233.0,드라마,15세이상관람가,7.4,,5.0,2021,06
가족은 괴로워3: 아내여 장미처럼,(주)미디어캐슬,2021-08-,4.0,207.0,드라마,전체관람가,10.0,,,2021,08
프로페서 앤 매드맨,그린나래미디어(주),2021-06-,320.0,192.0,드라마,15세이상관람가,7.65,4.7,5.33,2021,06
신해석 삼국지,"(주)리틀빅픽쳐스,(주)레드로버",2021-06-,17.0,178.0,코미디,12세이상관람가,6.22,,4.5,2021,06
숲의 비명 : 사라진 사람들,(주)트리필름,2021-08-,6.0,171.0,공포(호러),15세이상관람가,3.65,,,2021,08
"그 여름, 가장 차가웠던","(주)싸이더스,찬란",2021-06-,102.0,164.0,드라마,15세이상관람가,6.86,,6.0,2021,06
슈퍼딥,주식회사 루믹스미디어,2021-08-,5.0,152.0,공포(호러),15세이상관람가,,3.3,,2021,08
강호아녀,(주)에스와이코마드,2021-06-,45.0,144.0,드라마,15세이상관람가,7.7,,7.75,2021,06
배틀 크랙,(주)이놀미디어,2021-07-,5.0,140.0,SF,15세이상관람가,3.24,1.3,2.0,2021,07
에이리,(주)미디어캐슬,2021-07-,4.0,130.0,미스터리,15세이상관람가,8.67,,6.0,2021,07
켈리 갱,오드,2021-08-,9.0,127.0,범죄,15세이상관람가,6.61,2.5,7.0,2021,08
허리 고 라운드,(주)미디어캐슬,2021-07-,4.0,122.0,다큐멘터리,15세이상관람가,8.0,,,2021,07
사제로부터 온 편지,(주)드림팩트엔터테인먼트,2021-08-,4.0,118.0,다큐멘터리,전체관람가,8.36,,5.0,2021,08
내겐 너무 소중한 너,(주)파인스토리,2021-05-,449.0,116.0,드라마,12세이상관람가,,4.9,5.0,2021,05
더 데빌,CGV ICECON,2021-06-,19.0,104.0,뮤지컬,15세이상관람가,2.95,,6.0,2021,06
대테러부대: 팀 울프,(주)액티버스엔터테인먼트,2021-08-,5.0,100.0,전쟁,15세이상관람가,5.0,,,2021,08
복호무송,(주)액티버스엔터테인먼트,2021-07-,5.0,100.0,액션,12세이상관람가,7.8,,,2021,07
아웃브레이크,비케이 시네윈,2021-07-,5.0,100.0,스릴러,15세이상관람가,8.0,4.2,5.42,2021,07
일루셔니스트,비케이 시네윈,2021-08-,5.0,100.0,액션,12세이상관람가,9.0,4.6,5.33,2021,08
보통날,주식회사 씨엠닉스,2021-07-,1.0,98.0,드라마,15세이상관람가,8.0,,,2021,07
